id,product_id,sku,size,stock_quantity,price,compare_at_price,is_out_of_stock,created_at
63278ae9-82f0-4e85-bdc3-2585047b6b3e,bf188ac0-f980-451b-8329-7428f0353851,TDO-GW-BLK-RT-48,48,3,4500.00,,false,2026-04-08 06:55:49.112376+00
64b33b53-f360-49f7-b5cf-d2441c73d8dc,d73ef96c-6834-40d5-99c6-1179527fe6c4,TDO-GW-SH-WHT-S,36,3,700.00,,false,2026-04-08 06:55:49.112376+00
66798a35-24c1-4548-b293-7281fa4e2849,d73ef96c-6834-40d5-99c6-1179527fe6c4,TDO-GW-SH-WHT-XXXL,46,3,700.00,,false,2026-04-09 18:40:49.738975+00
676fdaad-ebc4-4409-b6ed-2a4b419d149e,887a0cfc-8e7a-4af3-b20a-95c415918688,TDO-GW-BLK-BUR-52,52,3,1800.00,,false,2026-04-08 06:55:49.112376+00
68d74c42-638a-4e4e-9c62-c0c76f249f71,af480a4c-176e-46af-82c2-ba174b03e400,TDO-GW-BLK-LAC-48,48,3,7500.00,,false,2026-04-08 06:55:49.112376+00
6b0f6d4f-05ff-43b8-be95-308274cf6479,4176d002-7e4d-4bed-be76-fd6c24166bb8,TDO-GW-BLK-TCT-50,50,3,2000.00,,false,2026-04-08 06:55:49.112376+00
6ba28248-dfc4-4edc-830e-caff44fa1ece,3c8a7430-08b2-486c-8b50-49087297e2ef,TDO-WC-BLK-38,38,3,1400.00,,false,2026-04-08 06:55:49.112376+00
6dd51684-403a-4e63-a98a-8a4b73664ed1,3c8a7430-08b2-486c-8b50-49087297e2ef,TDO-WC-BLK-44,44,3,1400.00,,false,2026-04-08 06:55:49.112376+00
73951ee8-26f1-4606-8d0a-d25d345ee61d,d73ef96c-6834-40d5-99c6-1179527fe6c4,TDO-GW-SH-WHT-M,38,3,700.00,,false,2026-04-08 06:55:49.112376+00
7539cf0a-7514-4e59-8406-93af90c847e8,2574f05e-b038-4a32-958d-cea012f96035,TDO-GW-BLK-RAY-44,44,3,4500.00,,false,2026-04-08 06:55:49.112376+00
77f8a3d0-e133-4f4a-8bc2-a7c604984bf7,052085b7-ef40-49ed-a8fd-9da4f0001dc0,TDO-PKG-CO-WC-PN-46-50,46-50,3,5300.00,,false,2026-04-08 06:55:49.112376+00
7d4ce65b-2a97-4f0f-9109-0cafb2858905,244d5b0c-2388-4208-bc38-e9a838db0f36,TDO-PC-RAY-LG,1.35 M,3,1200.00,,false,2026-04-08 06:55:49.112376+00
81787917-13ee-4463-889a-0c018467fbe0,bf188ac0-f980-451b-8329-7428f0353851,TDO-GW-BLK-RT-50,50,3,4500.00,,false,2026-04-08 06:55:49.112376+00
823ca6fe-77ff-420e-a4a8-56985f053b80,7515438c-a4c3-4527-a076-3d730d07e9a5,TDO-CT-BLK-44,44,3,2500.00,,false,2026-04-08 06:55:49.112376+00
874afc15-9223-490c-81e1-dcb75e485b8b,654ca649-f8c1-48a4-aa15-f5dd63b7b334,TDO-PKG-WC-PN-46-50,46-50,3,2800.00,,false,2026-04-08 06:55:49.112376+00
89865141-b702-493a-8d9f-600fdd9e8cdc,d73ef96c-6834-40d5-99c6-1179527fe6c4,TDO-GW-SH-WHT-XXL,44,3,700.00,,false,2026-04-08 06:55:49.112376+00
8c0500d3-d191-4ff5-a746-48b2f95e2199,3c8a7430-08b2-486c-8b50-49087297e2ef,TDO-WC-BLK-50,50,3,1600.00,,false,2026-04-08 06:55:49.112376+00
8ee52cbe-6cca-44ff-83a1-974e32d3140a,ba9baa11-7ea2-4e4f-95b2-41bc7cad73dc,TDO-GW-BLK-SRAY-46,46,3,6500.00,,false,2026-04-08 06:55:49.112376+00
9016e9cd-723c-4c38-9295-f5116d9687bc,887a0cfc-8e7a-4af3-b20a-95c415918688,TDO-GW-BLK-BUR-48,48,3,1800.00,,false,2026-04-08 06:55:49.112376+00
9058aa10-351a-4b51-bbd0-149e7833381b,93fe7d0a-ea97-4f6f-90c8-c5304b31b5a9,TDO-GW-BLK-SUN-46,46,3,2000.00,,false,2026-04-08 06:55:49.112376+00
91ee7f86-6724-46ab-8d2f-44a7518fa6b8,244d5b0c-2388-4208-bc38-e9a838db0f36,TDO-PC-RAY-DG,1.35 M,3,1200.00,,false,2026-04-08 06:55:49.112376+00
9452cfad-9cb0-444a-9a2f-622c14dae1fb,2c8e9e8a-7ad8-46f1-ace3-889970f3b329,TDO-PB-RAY-MG,,2,1200.00,,false,2026-04-10 00:47:10.237722+00
9666044c-23f2-4f60-aa32-d4f8630da61a,d73ef96c-6834-40d5-99c6-1179527fe6c4,TDO-GW-SH-WHT-XL,42,3,700.00,,false,2026-04-08 06:55:49.112376+00
99d301d0-1058-4dfd-9d87-003cb10a6c0b,a54ed218-f2e6-4177-b60c-f05b259032d7,TDO-GW-BLK-SLKS-50,50,3,8000.00,,false,2026-04-08 06:55:49.112376+00
9c7943a8-7cfb-4587-8551-c79402c5944c,2574f05e-b038-4a32-958d-cea012f96035,TDO-GW-BLK-RAY-48,48,3,4500.00,,false,2026-04-08 06:55:49.112376+00
aa84b84d-8d48-4d1e-a57b-9a6134c9250b,7515438c-a4c3-4527-a076-3d730d07e9a5,TDO-CT-BLK-48,48,3,2700.00,,false,2026-04-08 06:55:49.112376+00
b3c0c615-4b83-4746-aaad-4491844d9b22,3673c864-5767-4a17-8803-baaac3c83fdc,TDO-ACC-COT3-XL,XL,3,100.00,,false,2026-04-08 06:55:49.112376+00
b9844918-4b4d-41be-9c34-00f7b2a7e40d,a54ed218-f2e6-4177-b60c-f05b259032d7,TDO-GW-BLK-SLKS-44,44,3,8000.00,,false,2026-04-08 06:55:49.112376+00
b9bb2bf7-73bc-4518-8c1b-677cb1d926a9,244d5b0c-2388-4208-bc38-e9a838db0f36,TDO-PC-RAY-MG,1.35 M,3,1200.00,,false,2026-04-08 06:55:49.112376+00
ba638db6-44fa-4a1a-a57b-d9a1bc88a44d,a54ed218-f2e6-4177-b60c-f05b259032d7,TDO-GW-BLK-SLKS-46,46,3,8000.00,,false,2026-04-08 06:55:49.112376+00
bb09961e-31c8-4275-8f69-b9098ba94996,7515438c-a4c3-4527-a076-3d730d07e9a5,TDO-CT-BLK-36,36,3,2500.00,,false,2026-04-08 06:55:49.112376+00
bd3c812f-82ce-4181-8c8b-a7e444263aab,654ca649-f8c1-48a4-aa15-f5dd63b7b334,TDO-PKG-WC-PN-36-44,36-44,3,2600.00,,false,2026-04-08 06:55:49.112376+00
bded004d-e122-43dd-9b27-e188d00a4a4e,c5138afa-768c-45d4-ba78-273af6dbf4bf,TDO-GW-BLK-SBUR-48,48,3,3500.00,,false,2026-04-08 06:55:49.112376+00
becdb447-7d3d-44b4-a38b-28d23e46640e,ba9baa11-7ea2-4e4f-95b2-41bc7cad73dc,TDO-GW-BLK-SRAY-50,50,3,6500.00,,false,2026-04-08 06:55:49.112376+00
bf484a34-eb84-4541-8940-2fe10fb2d637,3c8a7430-08b2-486c-8b50-49087297e2ef,TDO-WC-BLK-40,40,3,1400.00,,false,2026-04-08 06:55:49.112376+00
c279d530-0830-43f1-b95d-de421c70bac4,47891ac5-d96d-4407-9290-e2ff2fe01643,TDO-PKG-CO-PN-36-44,36-44,3,3800.00,,false,2026-04-08 06:55:49.112376+00
c4675362-922b-47cd-9c12-16543d45120d,f0301a93-8b3b-4377-86ed-67d96da3c5b8,TDO-PKG-SH-PN-S,S,3,2000.00,,false,2026-04-08 06:55:49.112376+00
c71a4268-d2bc-4fd1-bfd3-f44f43f4b5f4,decf113f-99c2-40da-879a-a3a49067454f,TDO-ACC-BLT-OS,OS,3,400.00,,false,2026-04-08 06:55:49.112376+00
c943db55-d823-4e3c-b919-4a9e4125cf1a,2c8e9e8a-7ad8-46f1-ace3-889970f3b329,TDO-PB-RAY-DG,1.35 M,2,1200.00,,false,2026-04-10 00:46:18.950641+00
c9e649b3-f71d-432d-826f-77f78554f62e,ba9baa11-7ea2-4e4f-95b2-41bc7cad73dc,TDO-GW-BLK-SRAY-48,48,3,6500.00,,false,2026-04-08 06:55:49.112376+00
cd2a8766-0571-41e6-a42c-e25f1ada03fe,7fcf339a-d54b-4a7f-92c2-7325e3d22743,TDO-ACC-PRS-OS,OS,3,300.00,,false,2026-04-08 06:55:49.112376+00
cfc29484-ab1d-4e97-9fbd-605b2fad8cac,c5138afa-768c-45d4-ba78-273af6dbf4bf,TDO-GW-BLK-SBUR-44,44,3,3500.00,,false,2026-04-08 06:55:49.112376+00
d1248367-cde9-49aa-b1c3-b93222c4d787,2c8e9e8a-7ad8-46f1-ace3-889970f3b329,TDO-PB-RAY-BLK,,2,1200.00,,false,2026-04-10 00:36:16.182177+00
d53101bd-032d-40fe-956f-38a632a53995,82f6a152-777d-473f-88bd-37f5ce6fecea,TDO-ACC-TIE-OS,OS,3,120.00,,false,2026-04-08 06:55:49.112376+00
d56f2fe8-ab22-49d3-8e9e-32c0c9ad473c,af480a4c-176e-46af-82c2-ba174b03e400,TDO-GW-BLK-LAC-46,46,3,7500.00,,false,2026-04-08 06:55:49.112376+00
d7d66b80-c38b-41db-ac09-ec573042bdf7,887a0cfc-8e7a-4af3-b20a-95c415918688,TDO-GW-BLK-BUR-46,46,3,1800.00,,false,2026-04-08 06:55:49.112376+00
